Temperature,S_A,S_n,S_Ea,Abs_S_A,Abs_S_n,Abs_S_Ea,Dominant_Parameter,uncertainty_from_A,uncertainty_from_n,uncertainty_from_Ea,total_uncertainty
300.0,1.0,0.00668898815079671,-5.500449497374378,1.0,0.00668898815079671,5.500449497374378,Ea,15.0,0.04078651311461409,40.09073977678118,42.80501231619069
344.8979591836735,1.0,0.1461551162951339,-4.7844146515623285,1.0,0.1461551162951339,4.7844146515623285,Ea,15.0,0.8911897335069141,34.87182690643096,37.97154896673548
389.7959183673469,1.0,0.26852982941869014,-4.2333302414347305,1.0,0.26852982941869014,4.2333302414347305,Ea,15.0,1.6373770086505497,30.855176686842057,34.347094954955054
434.6938775510204,1.0,0.3775485670814854,-3.7960848643851337,1.0,0.3775485670814854,3.7960848643851337,Ea,15.0,2.3021254090334478,27.66825702904616,31.5568095412746
479.59183673469386,1.0,0.47584191551621924,-3.440706706868228,1.0,0.47584191551621924,3.440706706868228,Ea,15.0,2.901475094611093,25.078037222071632,29.36539644949917
524.4897959183673,1.0,0.56533248626728,-3.1461715023892354,1.0,0.56533248626728,3.1461715023892354,Ea,15.0,3.4471493065078054,22.9312791719332,27.617501748030985
569.3877551020408,1.0,0.6474681831934259,-2.898086294315532,1.0,0.6474681831934259,2.898086294315532,Ea,15.0,3.9479767267891828,21.123077946906207,26.206314929542163
614.2857142857142,1.0,0.7233666661209358,-2.6862660336014406,1.0,0.7233666661209358,2.6862660336014406,Ea,15.0,4.4107723543959505,19.579198495637318,25.05593595326006
659.1836734693877,1.0,0.7939087245947167,-2.503300545244686,1.0,0.7939087245947167,2.503300545244686,Ea,15.0,4.840906857284859,18.24563079624407,24.110939889472526
704.0816326530612,1.0,0.8598008184034202,-2.3436697858377786,1.0,0.8598008184034202,2.3436697858377786,Ea,15.0,5.242687917094026,17.08214129619372,23.329923443062786
