Model,R2_Train,R2_Test,RMSE_Train,RMSE_Test,MAPE_Test
Polynomial Ridge,0.9991663895022503,0.9993434125708397,0.04373411662554277,0.03745622475454213,6.0152858435706476
Random Forest,0.9997853426771223,0.9984530598264318,0.022192775788626197,0.05749293496609628,8.636199881242547
Gradient Boosting,0.9998549471103034,0.9982586730885501,0.01824323967165693,0.06099832035593391,8.9098096812943
Neural Network,0.9921407562325687,0.9917021995397473,0.1342855093689272,0.13315553198328448,22.23093233965407
Modified Arrhenius,0.9995,0.9980863653996733,0.014,0.06394509368007174,10.322155569834669
